source	target	note
Curtan Leste	柯坦·萊斯特	entity-name
Didier Meye	迪迪耶·梅耶	entity-name
Edith Agnoc	伊迪絲·阿諾克	entity-name
Karl Greiser	卡爾·格雷澤	entity-name
Ovid Grecer	奧維德·格雷瑟	entity-name
Valken Kruger	瓦爾肯·克魯格	entity-name
Heron Garaci	赫倫·加拉奇	entity-name
Isabel Edmonds	伊莎貝爾·艾德蒙茲	entity-name
Taddeus Azaro	塔德烏斯·阿扎羅	entity-name
Nefandes Vulturio	涅凡德斯·武爾圖里奧	entity-name
Antel	安特爾	entity-name
Laren	拉倫	entity-name
Leiren	萊倫	entity-name
Lenkurg	倫庫格	entity-name
Morbel	莫貝爾	entity-name
Nanta	南塔	entity-name
Intermerkopum	默科帕同盟	entity-name
LesPower	萊斯電力	entity-name
