source	target	has_mapping	needs_translation
0x0100006A00005BD3		0	0
Sordland_HUDStat_GovernmentBudget		0	0
Sordland/HUD Panel		0	0
Icons/ui_icon_category_economy		0	0
BaseGame.GovernmentBudget		0	0
BaseGame.Sordland_HUDStat_GovernmentBudget_Min		0	0
BaseGame.Sordland_HUDStat_GovernmentBudget_Max		0	0
AppBundle_Main		0	0
StoryPack_Main		0	0
0x0100006A00005BDA		0	0
Sordland_HUDStat_PersonalWealth		0	0
Sordland/HUD Panel		0	0
Icons/ui_icon_wallet		0	0
BaseGame.PersonalWealth		0	0
BaseGame.Sordland_HUDStat_PersonalWealth_Min		0	0
BaseGame.Sordland_HUDStat_PersonalWealth_Max		0	0
AppBundle_Main		0	0
StoryPack_Main		0	0
0x0100006A00005BF3		0	0
Rizia_HUDStat_Authority		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_crown		0	0
RiziaDLC.Resources_Authority		0	0
RiziaDLC.Resources_AuthorityModifiersTotal		0	0
RiziaDLC.Rizia_HUDStat_Authority_Min		0	0
RiziaDLC.Rizia_HUDStat_Authority_Max		0	0
Rizia_Authority_Modifier_BaseMonarchRomus		0	0
Rizia_Authority_Modifier_LargeProvincialProtest		0	0
Rizia_Authority_Modifier_LostTerritorialIntegrity		0	0
Rizia_Authority_Modifier_ProvincialObstruction		0	0
Rizia_Authority_Modifier_NationalDestabilization		0	0
Rizia_Authority_Modifier_SmallProvincialProtest		0	0
Rizia_Authority_Modifier_Intermerkopum		0	0
Rizia_Authority_Modifier_TerritorialReclaimation		0	0
Rizia_Authority_Modifier_OrganizedCrimeRise		0	0
Rizia_Authority_Modifier_LosingMyTradition		0	0
Rizia_Authority_Modifier_StopCheating		0	0
Rizia_Authority_Modifier_MalenyevistRevolutionaries		0	0
Rizia_Authority_Modifier_PowerProjection		0	0
Rizia_Authority_Modifier_WruhecsGuardians		0	0
Rizia_Authority_Modifier_SuOminaSupports		0	0
Rizia_Authority_Modifier_IntelligenceServices		0	0
Rizia_Authority_Modifier_GoldenGuard		0	0
Rizia_Authority_Modifier_CentralizedSecurity		0	0
Rizia_Authority_Modifier_HighPopularity		0	0
Rizia_Authority_Modifier_LowPopularity		0	0
Rizia_Authority_Modifier_RPPHouse		0	0
Rizia_Authority_Modifier_RNCHouse		0	0
Rizia_Authority_Modifier_DastnuristDisapproval		0	0
Rizia_Authority_Modifier_DastnuristApproval		0	0
Rizia_Authority_Modifier_WruhecistApproval		0	0
Rizia_Authority_Modifier_WruhecistDisapproval		0	0
Rizia_Authority_Modifier_SecterianViolence		0	0
Rizia_Authority_Modifier_ExpandedAdministration		0	0
Rizia_Authority_Modifier_PalantorPMC		0	0
Rizia_Authority_Modifier_ProvincialPolice		0	0
Rizia_Authority_Modifier_TorasHouseLevies		0	0
Rizia_Authority_Modifier_GolcondistDisapproval		0	0
Rizia_Authority_Modifier_RumburgianBond		0	0
Rizia_Authority_Modifier_SuOminaDestabilizes		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100006A00005BF7		0	0
