source	target	note
Last Login: Dec 4 2024	上次登入：2024年12月4日	full-corpus-half-b
Dec 24 2024	2024年12月24日	full-corpus-half-b
Skip Read Dialogue Text	跳過已讀對話	full-corpus-half-b
INR 1000000	INR 1000000	full-corpus-half-b
POLICIES	政策	full-corpus-half-b
CHANGES OVER TIME	隨時間的變化	full-corpus-half-b
Loading...	載入中...	full-corpus-half-b
Open City Information	開啟城市資訊	full-corpus-half-b
Entry	條目	full-corpus-half-b
Ioannis Petridis	Ioannis Petridis	full-corpus-half-b
V Sync	垂直同步	full-corpus-half-b
Tickets	票券	full-corpus-half-b
Niels Runge	Niels Runge	full-corpus-half-b
Sign up with Apple	使用 Apple 帳號註冊	full-corpus-half-b
Edit Username	編輯使用者名稱	full-corpus-half-b
Jamie Nikolovski	Jamie Nikolovski	full-corpus-half-b
Settings	設定	full-corpus-half-b
Profile Details	個人資料詳情	full-corpus-half-b
Omer Yentur	Omer Yentur	full-corpus-half-b
Notepad	記事本	full-corpus-half-b
1/2 Cloud Saves	1/2 雲端存檔	full-corpus-half-b
Show Sordish Politicans	顯示 蘇德蘭人 政治人物	full-corpus-half-b
Mitchel Crama	Mitchel Crama	full-corpus-half-b
Country Overview	國家 結束 概覽	full-corpus-half-b
Load Last Checkpoint	載入最後檢查點	full-corpus-half-b
Vice President:	副總統：	full-corpus-half-b
Ame Brillantes	Ame Brillantes	full-corpus-half-b
Jeppe Kjærgaard	Jeppe Kjærgaard	full-corpus-half-b
St Daniel of PanContanan Church	聖丹尼爾潘康塔納人教堂	full-corpus-half-b
Main Menu	主選單	full-corpus-half-b
Torpor Account	Torpor 帳號	full-corpus-half-b
Mridul Kashatria	Mridul Kashatria	full-corpus-half-b
Panel Title	面板標題	full-corpus-half-b
Section 1	第一節	full-corpus-half-b
Adam Sharp	Adam Sharp	full-corpus-half-b
Republic of Sordland	蘇德蘭共和國	full-corpus-half-b
Sol Bekic	索爾·貝基奇	full-corpus-half-b
Permanently removes Ads from Sordland Story Pack & unlocks premium Save/Load	永久移除 蘇德蘭 故事包中的廣告並解鎖高級存檔/讀檔功能	full-corpus-half-b
Welfare	福利	full-corpus-half-b
UI Scaling
	介面縮放
	full-corpus-half-b
Font	字體	full-corpus-half-b
Brand Manager	品牌經理	full-corpus-half-b
Milt	Milt	full-corpus-half-b
info value text text info dfddddddd	資訊數值文字文字資訊 dfddddddd	full-corpus-half-b
Achievements	成就	full-corpus-half-b
Daniel Emig	Daniel Emig	full-corpus-half-b
42	42	full-corpus-half-b
Order	指令	full-corpus-half-b
Shadows	陰影	full-corpus-half-b
Sign up with Google	使用 Google 註冊	full-corpus-half-b
sadasdas	sadasdas	full-corpus-half-b
SITUATIONS	局勢	full-corpus-half-b
Paratrooper	傘兵	full-corpus-half-b
Ashley Nicollette	Ashley Nicollette	full-corpus-half-b
Florian Maric	弗洛里安·馬里奇	full-corpus-half-b
Edit Name:	編輯名稱：	full-corpus-half-b
Des Gayle	Des Gayle	full-corpus-half-b
Codex Entry	法典條目	full-corpus-half-b
Odahir Mena	奧達希爾·梅納	full-corpus-half-b
Date: 	日期： 	full-corpus-half-b
Ozgun Kilit	Ozgun Kilit	full-corpus-half-b
8	8	full-corpus-half-b
Ministry of Technology, Writing and 
Design	部 技術、寫作與
設計	full-corpus-half-b
1-Day Ticket	1 日通行證	full-corpus-half-b
GrouchoMarxist	GrouchoMarxist	full-corpus-half-b
Adel Baharuhom	Adel Baharuhom	full-corpus-half-b
