source	target	score	note
Under the ordinance, which is effective Jan. 1, 2021, operators will be unable to renew their licenses, and the city will stop issuing new ones.
The horse-drawn carriage industry has been shrinking for years. The city now has 10 carriage licenses that will expire at the end of the year, The Chicago Tribune reported. At one point, it had 60 licenses available, according to The Associated Press.	芝加哥市議會於週五投票通過禁止馬車行駛，自明年起，芝加哥街頭將不再有馬蹄敲擊路面與馬車嘎吱作響的聲音。
根據該條例，自2021年1月1日起生效，營運商將無法續簽執照，市政府也將停止核發新執照。
據《芝加哥論壇報》報導，馬車產業多年來一直在萎縮。目前該市僅剩10張馬車執照將於年底到期。據美聯社報導，該市曾一度提供60張執照。	4	coverage-first
You are currently playing as a guest.
Login to use your Suzerain profile across devices.	您目前以訪客身份進行遊戲。
登入以在不同裝置間使用您的《Suzerain》個人檔案。	4	coverage-first
You haven't finished the Main Story.
Starting a DLC Story will automatically generate a default save file for the main story. Are you sure you want to continue?	您尚未完成主線故事。
開始 DLC 故事將會自動為您的主線故事產生一個預設存檔。您確定要繼續嗎？	4	coverage-first
(Add to Trainining Queue)	（加入訓練佇列）	3	coverage-first
4th President of Sordland	第 4 蘇德蘭總統	3	coverage-first
Achievement Unlocked!	成就解鎖！	3	coverage-first
Action Points	法案點數	3	coverage-first
Air drop a paratrooper	空投傘兵	3	coverage-first
Air Strike	空襲	3	coverage-first
Air Support	空中支援	3	coverage-first
Ame Searle	艾姆·希爾	3	coverage-first
Analytics Consent	分析數據同意	3	coverage-first
Anett Jenichen	Anett 詹ichen	3	coverage-first
Anrica	安里卡	3	coverage-first
Anti-Aliasing	反鋸齒	3	coverage-first
Anton Rayne	安東·雷恩	3	coverage-first
Apply	應用	3	coverage-first
ARCASIAN CAPITALISM	阿卡西亞資本主義	3	coverage-first
AVAILABLE	可用	3	coverage-first
Ayan	阿揚	3	coverage-first
Battle Ships	戰艦	3	coverage-first
Between 1954-1958	1954-1958 年間	3	coverage-first
Brand Manager
Bundles	組合包	3	coverage-first
Business Manager	商務經理	3	coverage-first
Cabinet	內閣	3	coverage-first
Campaing Finance Bill	競選財務法案	3	coverage-first
Cancel	取消	3	coverage-first
Cancel Training	取消訓練	3	coverage-first
CAP REACHED	已達上限	3	coverage-first
CHANGES OVER TIME	隨時間的變化	3	coverage-first
Character Customization	角色自訂	3	coverage-first
Characters	角色	3	coverage-first
CHOOSE A PROFILE PICTURE	選擇頭像	3	coverage-first
Christopher Ferazzoli	克里斯多福·費拉佐利	3	coverage-first
code	代碼	3	coverage-first
Collections	收藏	3	coverage-first
