source	target	score	note
Back to Codex	返回法典	8	visible-priority-candidate
Save file uploaded.	存檔已上傳。	8	visible-priority-candidate
1/2 Cloud Saves	1/2 雲端存檔	5	visible-priority-candidate
Autosave	自動儲存	5	visible-priority-candidate
Back to Login	返回登入	5	visible-priority-candidate
Crazy campaign	瘋狂競選	5	visible-priority-candidate
Decisions	決策	5	visible-priority-candidate
Diplomacy	外交	5	visible-priority-candidate
ECONOMY	經濟	5	visible-priority-candidate
Enter save file name...	輸入存檔名稱...	5	visible-priority-candidate
Journal	日誌	5	visible-priority-candidate
Law	法律	5	visible-priority-candidate
LOAD	載入	5	visible-priority-candidate
Loading ad…	正在載入廣告…	5	visible-priority-candidate
Loading...	載入中...	5	visible-priority-candidate
Military	軍隊	5	visible-priority-candidate
Return	返回	5	visible-priority-candidate
Return to Conversation	回到對話	5	visible-priority-candidate
Save	儲存	5	visible-priority-candidate
Trade	貿易	5	visible-priority-candidate
