source	target	score	note
Turn	回合	5	visible-priority-candidate
<size=19>(Press)</size> Gamepad Menu	<size=19>(按下)</size> 遊戲手把選單	4	visible-priority-candidate
Commission for Fair Trade and Competition	公平貿易與競爭委員會	4	visible-priority-candidate
Commission for Fair Trade Commission for Fa	公平貿易委員會公平貿易委員會	4	visible-priority-candidate
Saved on a different version	於不同版本儲存	4	visible-priority-candidate
Torpor Games Privacy Policy	Torpor Games 隱私權政策	4	visible-priority-candidate
(CONTRIBUTING MEMBERS)	（貢獻成員）	2	visible-priority-candidate
1-Day Ticket	1 日通行證	2	visible-priority-candidate
128h	128小時	2	visible-priority-candidate
25h	25小時	2	visible-priority-candidate
3-day ticket	3 天門票	2	visible-priority-candidate
<sprite name=currency>	<sprite name=currency>	2	visible-priority-candidate
Aarón J. Morales	Aarón J. Morales	2	visible-priority-candidate
Accept	接受	2	visible-priority-candidate
Achievements	成就	2	visible-priority-candidate
ACHIEVEMENTS:	成就：	2	visible-priority-candidate
adasd	adasd	2	visible-priority-candidate
Ads	廣告	2	visible-priority-candidate
Affiliation	隸屬關係	2	visible-priority-candidate
AFFILIATION:	隸屬關係：	2	visible-priority-candidate
