source	target	score	note
Account Settings	帳號設定	8	visible-priority-candidate
Load Save	載入存檔	8	visible-priority-candidate
Torpor Account Login	Torpor 帳號登入	8	visible-priority-candidate
Ad Privacy Options	廣告隱私選項	5	visible-priority-candidate
Click to Login	點擊登入	5	visible-priority-candidate
Codex Entry	法典條目	5	visible-priority-candidate
Country Overview	國家 結束 概覽	5	visible-priority-candidate
Create Account	建立帳號	5	visible-priority-candidate
Current Turn	當前回合	5	visible-priority-candidate
Delete Torpor Account	刪除 Torpor 帳號	5	visible-priority-candidate
End Turn	結束回合	5	visible-priority-candidate
Enemy Turn	敵方回合	5	visible-priority-candidate
Last Login: Dec 4 2024	上次登入：2024年12月4日	5	visible-priority-candidate
Link Account	連結帳號	5	visible-priority-candidate
Load Database	載入資料庫	5	visible-priority-candidate
Load Last Checkpoint	載入最後檢查點	5	visible-priority-candidate
Loading ad…	正在載入廣告…	5	visible-priority-candidate
Login	登入	5	visible-priority-candidate
Main Menu	主選單	5	visible-priority-candidate
Manual Save	手動存檔	5	visible-priority-candidate
