source	target	score	note
Account Settings	帳號設定	8	visible-priority-candidate
Load Save	載入存檔	8	visible-priority-candidate
Torpor Account Login	Torpor 帳號登入	8	visible-priority-candidate
Ad Privacy Options	廣告隱私選項	5	visible-priority-candidate
Click to Login	點擊登入	5	visible-priority-candidate
Codex Entry	法典條目	5	visible-priority-candidate
Country Overview	國家 結束 概覽	5	visible-priority-candidate
Create Account	建立帳號	5	visible-priority-candidate
Current Turn	當前回合	5	visible-priority-candidate
Delete Torpor Account	刪除 Torpor 帳號	5	visible-priority-candidate
End Turn	結束回合	5	visible-priority-candidate
Enemy Turn	敵方回合	5	visible-priority-candidate
Last Login: Dec 4 2024	上次登入：2024年12月4日	5	visible-priority-candidate
Link Account	連結帳號	5	visible-priority-candidate
Load Database	載入資料庫	5	visible-priority-candidate
Load Last Checkpoint	載入最後檢查點	5	visible-priority-candidate
Loading ad…	正在載入廣告…	5	visible-priority-candidate
Login	登入	5	visible-priority-candidate
Main Menu	主選單	5	visible-priority-candidate
Manual Save	手動存檔	5	visible-priority-candidate
New Save	新存檔	5	visible-priority-candidate
Open Codex Entry	開啟法典條目	5	visible-priority-candidate
Restore Defaults	恢復預設值	5	visible-priority-candidate
Restore Purchases	恢復購買	5	visible-priority-candidate
Settings	設定	5	visible-priority-candidate
Sync Achievements	同步成就	5	visible-priority-candidate
Torpor Account	Torpor 帳號	5	visible-priority-candidate
Map Switch/Open Login Page	地圖切換/開啟登入頁面	4	visible-priority-candidate
Achievement Unlocked!	成就解鎖！	2	visible-priority-candidate
Action Points	法案點數	2	visible-priority-candidate
Adam Sharp	Adam Sharp	2	visible-priority-candidate
Adel Baharuhom	Adel Baharuhom	2	visible-priority-candidate
Air drop a paratrooper	空投傘兵	2	visible-priority-candidate
Air Strike	空襲	2	visible-priority-candidate
Air Support	空中支援	2	visible-priority-candidate
Alison Nieman	Alison Nieman	2	visible-priority-candidate
Ame Brillantes	Ame Brillantes	2	visible-priority-candidate
Ame Searle	艾姆·希爾	2	visible-priority-candidate
Analytics Consent	分析數據同意	2	visible-priority-candidate
Andrea Lippi	Andrea Lippi	2	visible-priority-candidate
