source	target	note
Resolution	解析度	low-risk-candidate
Codex	法典	low-risk-candidate
Password	密碼	low-risk-candidate
Past Reports	過往報告	low-risk-candidate
Links	連結	low-risk-candidate
Organisations	組織	low-risk-candidate
Font Size	字體大小	low-risk-candidate
Attack	攻擊	low-risk-candidate
News	新聞	low-risk-candidate
Associate Producer	助理製作人	low-risk-candidate
Adrien Farey	Adrien Farey	low-risk-candidate
Store	商店	low-risk-candidate
Bomber Planes	轟炸機	low-risk-candidate
Christopher Priestly	Christopher Priestly	low-risk-candidate
Anton	安東	low-risk-candidate
Rachel Glassberg	Rachel Glassberg	low-risk-candidate
Stephen Gray	史蒂芬·格雷	low-risk-candidate
Evolve PR	Evolve PR	low-risk-candidate
Confirm	確認	low-risk-candidate
Reward in 5s	5秒後獎勵	low-risk-candidate
USP	團結社會黨	low-risk-candidate
profile name	個人檔案名稱	low-risk-candidate
Semih Güner	Semih Güner	low-risk-candidate
Link Account with Email	連結電子郵件帳號	low-risk-candidate
Debug Text:	除錯文字：	low-risk-candidate
STABILITY	穩定度	low-risk-candidate
GREATER HOLSORD REGION	大霍爾索德地區	low-risk-candidate
Fiona Murray	Fiona Murray	low-risk-candidate
Nathan De Farias Lima	Nathan De Farias Lima	low-risk-candidate
Menu	選單	low-risk-candidate
